Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Total, permit holders and their family members",,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,467,467,467
,Work permit holders only,,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,409,409,409
,Study permit holders only,,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,33,33,33
,Work and study permit holders,,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,15,15,15
,Other,,2023-01-01QQ2,Northwest Territories,Q2,,01-01-2023,,10,10,10
,"Total, non-permanent residents",,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,103,103,103
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,0,0,0
,"Total, permit holders and their family members",,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,103,103,103
,Work permit holders only,,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,82,82,82
,Study permit holders only,,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,9,9,9
,Work and study permit holders,,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,2,2,2
,Other,,2023-01-01QQ2,Nunavat,Q2,,01-01-2023,,10,10,10
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ3,Ontario,Q3,,01-01-2023,,986863,986863,986863
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2023-01-01QQ3,Ontario,Q3,,01-01-2023,,90793,90793,90793
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,47328,47328,47328
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,980,980,980
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,3727,3727,3727
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,38758,38758,38758
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ3,Ontario,Q3,,01-01-2023,,896070,896070,896070
,Work permit holders only,Work permit holders only,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,419475,419475,419475
,Study permit holders only,Study permit holders only,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,284739,284739,284739
,Work and study permit holders,Work and study permit holders,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,159806,159806,159806
,Other,,2023-01-01QQ3,Ontario,Q3,,01-01-2023,,32050,32050,32050
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,400964,400964,400964
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,11384,11384,11384
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,6999,6999,6999
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,164,164,164
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,510,510,510
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,3711,3711,3711
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,389580,389580,389580
,Work permit holders only,Work permit holders only,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,196259,196259,196259
,Study permit holders only,Study permit holders only,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,138434,138434,138434
,Work and study permit holders,,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,38848,38848,38848
,Other,,2023-01-01QQ3,British Columbia,Q3,,01-01-2023,,16039,16039,16039
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ3,Alberta,Q3,,01-01-2023,,150320,150320,150320
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,5766,5766,5766
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,3038,3038,3038
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,71,71,71
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,205,205,205
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,2452,2452,2452
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ3,Alberta,Q3,,01-01-2023,,144554,144554,144554
,Work permit holders only,Work permit holders only,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,89575,89575,89575
,Study permit holders only,,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,36576,36576,36576
,Work and study permit holders,,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,11013,11013,11013
,Other,,2023-01-01QQ3,Alberta,Q3,,01-01-2023,,7390,7390,7390
,"Total, non-permanent residents",,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,12911,12911,12911
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,73,73,73
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,36,36,36
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,4,4,4
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,9,9,9
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,24,24,24
,"Total, permit holders and their family members",,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,12838,12838,12838
,Work permit holders only,,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,6063,6063,6063
,Study permit holders only,,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,5017,5017,5017
,Work and study permit holders,,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,1186,1186,1186
,Other,,2023-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2023,,572,572,572
,"Total, non-permanent residents",,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,9953,9953,9953
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,26,26,26
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,8,8,8
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,4,4,4
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,11,11,11
,"Total, permit holders and their family members",,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,9927,9927,9927
,Work permit holders only,,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,5192,5192,5192
,Study permit holders only,,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,3702,3702,3702
,Work and study permit holders,,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,745,745,745
,Other,,2023-01-01QQ3,Prince Edward Island,Q3,,01-01-2023,,288,288,288
,"Total, non-permanent residents",,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,45794,45794,45794
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,325,325,325
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,179,179,179
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,12,12,12
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,26,26,26
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,108,108,108
,"Total, permit holders and their family members",,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,45469,45469,45469
,Work permit holders only,,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,20712,20712,20712
,Study permit holders only,,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,13619,13619,13619
,Work and study permit holders,,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,9056,9056,9056
,Other,,2023-01-01QQ3,Nova Scotia,Q3,,01-01-2023,,2082,2082,2082
,"Total, non-permanent residents",,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,27458,27458,27458
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,188,188,188
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,99,99,99
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,2,2,2
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,7,7,7
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,80,80,80
,"Total, permit holders and their family members",,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,27270,27270,27270
,Work permit holders only,,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,13864,13864,13864
,Study permit holders only,,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,7476,7476,7476
,Work and study permit holders,,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,4626,4626,4626
,Other,,2023-01-01QQ3,New Brunswick,Q3,,01-01-2023,,1304,1304,1304
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ3,Quebec,Q3,,01-01-2023,,470976,470976,470976
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2023-01-01QQ3,Quebec,Q3,,01-01-2023,,146723,146723,146723
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2023-01-01QQ3,Quebec,Q3,,01-01-2023,,85419,85419,85419
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Quebec,Q3,,01-01-2023,,343,343,343
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Quebec,Q3,,01-01-2023,,2239,2239,2239
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2023-01-01QQ3,Quebec,Q3,,01-01-2023,,58722,58722,58722
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ3,Quebec,Q3,,01-01-2023,,324253,324253,324253
,Work permit holders only,Work permit holders only,2023-01-01QQ3,Quebec,Q3,,01-01-2023,,200522,200522,200522
,Study permit holders only,Study permit holders only,2023-01-01QQ3,Quebec,Q3,,01-01-2023,,63799,63799,63799
,Work and study permit holders,,2023-01-01QQ3,Quebec,Q3,,01-01-2023,,38858,38858,38858
,Other,,2023-01-01QQ3,Quebec,Q3,,01-01-2023,,21074,21074,21074
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,60615,60615,60615
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,1434,1434,1434
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,869,869,869
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,16,16,16
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,30,30,30
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,519,519,519
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,59181,59181,59181
,Work permit holders only,,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,32608,32608,32608
,Study permit holders only,,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,18068,18068,18068
,Work and study permit holders,,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,6652,6652,6652
,Other,,2023-01-01QQ3,Manitoba,Q3,,01-01-2023,,1853,1853,1853
,"Total, non-permanent residents",,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,30704,30704,30704
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,236,236,236
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,113,113,113
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,5,5,5
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,10,10,10
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,108,108,108
,"Total, permit holders and their family members",,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,30468,30468,30468
,Work permit holders only,,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,15512,15512,15512
,Study permit holders only,,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,10512,10512,10512
,Work and study permit holders,,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,2957,2957,2957
,Other,,2023-01-01QQ3,Saskatchewan,Q3,,01-01-2023,,1487,1487,1487
,"Total, non-permanent residents",,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,1446,1446,1446
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,0,0,0
,"Total, permit holders and their family members",,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,1446,1446,1446
,Work permit holders only,,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,1120,1120,1120
,Study permit holders only,,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,217,217,217
,Work and study permit holders,,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,80,80,80
,Other,,2023-01-01QQ3,Yukon,Q3,,01-01-2023,,29,29,29
,"Total, non-permanent residents",,2023-01-01QQ3,Northwest Territories,Q3,,01-01-2023,,567,567,567
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ3,Northwest Territories,Q3,,01-01-2023,,7,7,7
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ3,Northwest Territories,Q3,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ3,Northwest Territories,Q3,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ3,Northwest Territories,Q3,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ3,Northwest Territories,Q3,,01-01-2023,,4,4,4
,"Total, permit holders and their family members",,2023-01-01QQ3,Northwest Territories,Q3,,01-01-2023,,560,560,560
